Player,Position,Height,Weight,NationalRank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Easton Ware,IOL,6-5,280,404,26,9,Liberty Christian Academy,Lynchburg,VA,Clemson
Chase Loftin,TE,,,404,24,2,Millard South,Omaha,NE,Florida State
Tony Williams Jr.,S,6-1,190,404,37,56,Miami Central,Miami,FL,UCF
Tai Buster,IOL,6-3,280,411,27,11,A.L. Brown,Kannapolis,NC,Auburn
Lyrick Samuel,WR,6-3.5,180,412,57,1,Erasmus Hall,Brooklyn,NY,Penn State
DJ McClary,LB,6-1,211,413,45,11,Henry Snyder,Jersey City,NJ,Rutgers
J.P. Powell,RB,5-11,185,414,28,55,Miller County,Colquitt,GA,Georgia Tech
Mario Nash Jr.,IOL,6-4,280,415,28,13,Kemper County,De Kalb,MS,Florida State
Taylor Brown,DL,6-3,250,416,41,12,Dr. Henry Wise,Upper Marlboro,MD,West Virginia
Jadon Perlotte,LB,6-2.5,202,417,46,56,Buford,Buford,GA,Tennessee
Alex Graham,CB,6-1,186,418,41,5,Cass Technical,Detroit,MI,USC
Rickey Stewart Jr.,RB,5-10,180,419,29,56,Chapel Hill,Tyler,TX,Texas
Daune Morris,RB,5-10,185,419,29,12,Oakland,Murfreesboro,TN,Tennessee
Kevin Sperry,QB,6-1,200,421,27,57,Denton Guyer,Denton,TX,Florida State
Jeffrey Overton Jr.,RB,5-10.5,192,422,31,10,Hayfield,Alexandria,VA,Virginia Tech
Mason Alexander,CB,6-0,180,423,42,8,Hamilton Southeastern,Fishers,IN,Pittsburgh
Jalil Hall,WR,6-4,185,424,58,13,Monsignor Bonner,Drexel Hill,PA,Purdue
Bear Bachmeier,QB,6-1.5,225,425,28,34,Murrieta Valley,Murrieta,CA,Stanford
Tanook Hines,WR,6-1,185,425,59,58,Spring Dekaney,Houston,TX,USC
Brandon Brown,DL,6-1.5,286,425,42,58,Eau Gallie,Melbourne,FL,LSU
Grant Beerman,LB,6-4,220,425,47,18,Lakota West,West Chester,OH,Illinois
Tikey Hayes,RB,5-10,185,429,32,14,Aliquippa,Aliquippa,PA,Penn State
Shamar Arnoux,CB,6-2,175,430,43,,Carrollton,Carrollton,GA,Florida State
